Date,Total Value
2023-02-06,3301.0
2023-02-07,12111.0
2023-02-08,13607.0
2023-02-09,11556.0
2023-02-10,16632.0
2023-02-11,14668.0
2023-02-12,11052.0
2023-02-13,9831.0
2023-02-14,15402.0
2023-02-15,12716.0
2023-02-16,12956.0
2023-02-17,10823.0
2023-02-18,11273.0
2023-02-19,5927.0
2023-02-20,6848.0
2023-02-21,8576.0
2023-02-22,11442.0
2023-02-23,3938.0
2023-02-24,11677.0
2023-02-25,10276.0
2023-02-26,4547.0
2023-02-27,8980.0
2023-02-28,3462.0
2023-03-01,9767.0
2023-03-02,12718.0
2023-03-03,6712.0
2023-03-04,16921.0
2023-03-05,4311.0
2023-03-06,9006.0
2023-03-07,11428.0
2023-03-08,7495.0
2023-03-09,10292.0
2023-03-10,7991.0
2023-03-11,8132.0
2023-03-12,11990.0
2023-03-13,8159.0
2023-03-14,5419.0
2023-03-15,6791.0
2023-03-16,9106.0
2023-03-17,10321.0
2023-03-18,12958.0
2023-03-19,7340.0
2023-03-20,10643.0
2023-03-21,11215.0
2023-03-22,11336.0
2023-03-23,7050.0
2023-03-24,7408.0
2023-03-25,7542.0
2023-03-26,8863.0
2023-03-27,11132.0
2023-03-28,13985.0
2023-03-29,10874.0
2023-03-30,13877.0
2023-03-31,6492.0
2023-04-01,6416.0
2023-04-02,5777.0
2023-04-03,9687.0
2023-04-04,8598.0
2023-04-05,11292.0
2023-04-06,9430.0
2023-04-07,8241.0
2023-04-08,11211.0
2023-04-09,6919.0
2023-04-10,10250.0
2023-04-11,12820.0
2023-04-12,4427.0
2023-04-13,21572.0
2023-04-14,16109.0
2023-04-15,13780.0
2023-04-16,7991.0
2023-04-17,6169.0
2023-04-18,6183.0
2023-04-19,13157.0
2023-04-20,10187.0
2023-04-21,9643.0
2023-04-22,10165.0
2023-04-23,8190.0
2023-04-24,10542.0
2023-04-25,7746.0
2023-04-26,7359.0
2023-04-27,6066.0
2023-04-28,7149.0
2023-04-29,9111.0
2023-04-30,10633.0
2023-05-01,5755.0
2023-05-02,5552.0
2023-05-03,3412.0
2023-05-04,7769.0
2023-05-05,11742.0
2023-05-06,13759.0
2023-05-07,8754.0
2023-05-08,10772.0
2023-05-09,8684.0
2023-05-10,9751.0
2023-05-11,13749.0
2023-05-12,10024.0
2023-05-13,6267.0
2023-05-14,7558.0
2023-05-15,9275.0
2023-05-16,12276.0
2023-05-17,8860.0
2023-05-18,6655.0
2023-05-19,9307.0
2023-05-20,8620.0
2023-05-21,8850.0
2023-05-22,9578.0
2023-05-23,7929.0
2023-05-24,14654.0
2023-05-25,7322.0
2023-05-26,2518.0
2023-05-27,3240.0
2023-05-28,1309.0
2023-05-29,1732.0
2023-05-30,2077.0
2023-05-31,2725.0
2023-06-01,1887.0
2023-06-02,1240.0
2023-06-03,3929.0
2023-06-04,8751.0
2023-06-05,1324.0
2023-06-06,2255.0
2023-06-07,2314.0
2023-06-08,2976.0
2023-06-09,10928.0
2023-06-10,2179.0
2023-06-11,5282.0
2023-06-12,2785.0
2023-06-13,2634.0
2023-06-14,2676.0
2023-06-15,2987.0
2023-06-16,1678.0
2023-06-17,7054.0
2023-06-18,2456.0
2023-06-19,2141.0
2023-06-20,2303.0
2023-06-21,2358.0
2023-06-22,1963.0
2023-06-23,1204.0
2023-06-24,10089.0
2023-06-25,2712.0
2023-06-26,2045.0
2023-06-27,11009.0
2023-06-28,2817.0
2023-06-29,12312.0
2023-06-30,3328.0
2023-07-01,2385.0
2023-07-02,2194.0
2023-07-03,3835.0
2023-07-04,3394.0
2023-07-05,3159.0
2023-07-06,9092.0
2023-07-07,3282.0
2023-07-08,2423.0
2023-07-09,4566.0
2023-07-10,800.0
2023-07-11,2065.0
2023-07-12,5106.0
2023-07-13,4407.0
2023-07-14,1340.0
2023-07-15,2050.0
2023-07-16,3019.0
2023-07-17,2006.0
2023-07-18,6035.0
2023-07-19,901.0
2023-07-20,5088.0
2023-07-21,1189.0
2023-07-22,4436.0
2023-07-23,8476.0
2023-07-24,4224.0
2023-07-25,5295.0
2023-07-26,2177.0
2023-07-27,5203.0
2023-07-28,2242.0
2023-07-29,5583.0
2023-07-30,2979.0
2023-07-31,6593.0
2023-08-01,5361.0
2023-08-02,7142.0
2023-08-03,2492.0
2023-08-04,1979.0
2023-08-05,1747.0
2023-08-06,9434.0
2023-08-07,3156.0
2023-08-08,1955.0
2023-08-09,3398.0
2023-08-10,1349.0
2023-08-11,8877.0
2023-08-12,2674.0
2023-08-13,8501.0
2023-08-14,2218.0
2023-08-15,4687.0
2023-08-16,1746.0
2023-08-17,2200.0
2023-08-18,3910.0
2023-08-19,5253.0
2023-08-20,7555.0
2023-08-21,2934.0
2023-08-22,2092.0
2023-08-23,2635.0
2023-08-24,1766.0
2023-08-25,2483.0
2023-08-26,3044.0
2023-08-27,9913.0
2023-08-28,2671.0
2023-08-29,2075.0
2023-08-30,4031.0
2023-08-31,2489.0
2023-09-01,16096.0
2023-09-02,10080.0
2023-09-03,10825.0
2023-09-04,10953.0
2023-09-05,8892.0
2023-09-06,17320.0
2023-09-07,13006.0
2023-09-08,17514.0
2023-09-09,14224.0
2023-09-10,10214.0
2023-09-11,11393.0
2023-09-12,11107.0
2023-09-13,12854.0
2023-09-14,10902.0
2023-09-15,22124.0
2023-09-16,11862.0
2023-09-17,6903.0
2023-09-18,10253.0
2023-09-19,12750.0
2023-09-20,13086.0
2023-09-21,7692.0
2023-09-22,14111.0
2023-09-23,8118.0
2023-09-24,6407.0
2023-09-25,8634.0
2023-09-26,12001.0
2023-09-27,12744.0
2023-09-28,11700.0
2023-09-29,12636.0
2023-09-30,11954.0
2023-10-01,6343.0
2023-10-02,9887.0
2023-10-03,8804.0
2023-10-04,9489.0
2023-10-05,12452.0
2023-10-06,4899.0
2023-10-07,9987.0
2023-10-08,3841.0
2023-10-09,4210.0
2023-10-10,10139.0
2023-10-11,10436.0
2023-10-12,11481.0
2023-10-13,17583.0
2023-10-14,9898.0
2023-10-15,6532.0
2023-10-16,11537.0
2023-10-17,5689.0
2023-10-18,10055.0
2023-10-19,13307.0
2023-10-20,11205.0
2023-10-21,3314.0
2023-10-22,4132.0
2023-10-23,12978.0
2023-10-24,7783.0
2023-10-25,13465.0
2023-10-26,13767.0
2023-10-27,17146.0
2023-10-28,15485.0
2023-10-29,8587.0
2023-10-30,9423.0
2023-10-31,13140.0
2023-11-01,11247.0
2023-11-02,15555.0
2023-11-03,11478.0
2023-11-04,9116.0
2023-11-05,5859.0
2023-11-06,10182.0
2023-11-07,9659.0
2023-11-08,8508.0
2023-11-09,12763.0
2023-11-10,11710.0
2023-11-11,7592.0
2023-11-12,10313.0
2023-11-13,10549.0
2023-11-14,7377.0
2023-11-15,12157.0
2023-11-16,12602.0
2023-11-17,15588.0
2023-11-18,11715.0
2023-11-19,5595.0
2023-11-20,9665.0
2023-11-21,9712.0
2023-11-22,13359.0
2023-11-23,5888.0
2023-11-24,6183.0
2023-11-25,2108.0
2023-11-26,5240.0
2023-11-27,8891.0
2023-11-28,8643.0
2023-11-29,10437.0
2023-11-30,11724.0
2023-12-01,11802.0
2023-12-02,6954.0
2023-12-03,6996.0
2023-12-04,8670.0
2023-12-05,7521.0
2023-12-06,11087.0
2023-12-07,9967.0
2023-12-08,12189.0
2023-12-09,12658.0
2023-12-10,6102.0
2023-12-11,7929.0
2023-12-12,10570.0
2023-12-13,19482.0
2023-12-14,3815.0
2023-12-15,9051.0
2023-12-16,8207.0
2023-12-17,7441.0
2023-12-18,2878.0
2023-12-19,228.0
2023-12-20,2108.0
2023-12-21,10478.0
2023-12-22,4778.0
2023-12-23,7138.0
2023-12-24,11169.0
2023-12-25,550.0
2023-12-26,1663.0
2023-12-27,12286.0
2023-12-28,11065.0
2023-12-29,1591.0
2023-12-30,1060.0
2023-12-31,7776.0
2024-01-01,2881.0
2024-01-02,1169.0
2024-01-03,7421.0
2024-01-04,781.0
2024-01-05,2490.0
2024-01-06,677.0
2024-01-07,7083.0
2024-01-08,512.0
2024-01-09,1632.0
2024-01-10,1869.0
2024-01-11,796.0
2024-01-12,6682.0
2024-01-13,2094.0
2024-01-14,1225.0
2024-01-15,3269.0
2024-01-16,1427.0
2024-01-17,2154.0
2024-01-18,1158.0
2024-01-19,1458.0
2024-01-20,14296.0
2024-01-21,9588.0
2024-01-22,4890.0
2024-01-23,1653.0
2024-01-24,1480.0
2024-01-25,4989.0
2024-01-26,7603.0
2024-01-27,11029.0
2024-01-28,2589.0
2024-01-29,8260.0
2024-01-30,5206.0
2024-01-31,7787.0
2024-02-01,10659.0
2024-02-02,8184.0
2024-02-03,7783.0
2024-02-04,10045.0
2024-02-05,12053.0
2024-02-06,12067.0
2024-02-07,7771.0
2024-02-08,11716.0
2024-02-09,9522.0
2024-02-10,13207.0
2024-02-11,8429.0
2024-02-12,14751.0
2024-02-13,16887.0
2024-02-14,12146.0
2024-02-15,13239.0
2024-02-16,10795.0
2024-02-17,7248.0
2024-02-18,6702.0
2024-02-19,8111.0
2024-02-20,14333.0
2024-02-21,10296.0
2024-02-22,9641.0
2024-02-23,8579.0
2024-02-24,8425.0
2024-02-25,6981.0
2024-02-26,10688.0
2024-02-27,10428.0
2024-02-28,10188.0
2024-02-29,13400.0
2024-03-01,7593.0
2024-03-02,8720.0
2024-03-03,8718.0
2024-03-04,10816.0
2024-03-05,12346.0
2024-03-06,9801.0
2024-03-07,10885.0
2024-03-08,8946.0
2024-03-09,16119.0
2024-03-10,4746.0
2024-03-11,11879.0
2024-03-12,13101.0
2024-03-13,11272.0
2024-03-14,11647.0
2024-03-15,7554.0
2024-03-16,3568.0
2024-03-17,5673.0
2024-03-18,1851.0
2024-03-19,2735.0
2024-03-20,1461.0
2024-03-21,7143.0
2024-03-22,7027.0
2024-03-23,1980.0
2024-03-24,5868.0
2024-03-25,10488.0
2024-03-26,13076.0
2024-03-27,12197.0
2024-03-28,11985.0
2024-03-29,6151.0
2024-03-30,5319.0
2024-03-31,5881.0
2024-04-01,8219.0
2024-04-02,9597.0
2024-04-03,10223.0
2024-04-04,16697.0
2024-04-05,9794.0
2024-04-06,10536.0
2024-04-07,7616.0
2024-04-08,10814.0
2024-04-09,11276.0
2024-04-10,12461.0
2024-04-11,15580.0
2024-04-12,6627.0
2024-04-13,7256.0
2024-04-14,6715.0
2024-04-15,10008.0
2024-04-16,12317.0
2024-04-17,10977.0
2024-04-18,16565.0
2024-04-19,6327.0
2024-04-20,15404.0
2024-04-21,7939.0
2024-04-22,9944.0
2024-04-23,13221.0
2024-04-24,11074.0
2024-04-25,16000.0
2024-04-26,6108.0
2024-04-27,7117.0
2024-04-28,5954.0
2024-04-29,13468.0
2024-04-30,12040.0
2024-05-01,10004.0
2024-05-02,12754.0
2024-05-03,6798.0
2024-05-04,5786.0
2024-05-05,6198.0
2024-05-06,7849.0
2024-05-07,13386.0
2024-05-08,12621.0
2024-05-09,11598.0
2024-05-10,7622.0
2024-05-11,2154.0
2024-05-12,8016.0
2024-05-13,6293.0
2024-05-14,9932.0
2024-05-15,10109.0
2024-05-16,5723.0
2024-05-17,4558.0
2024-05-18,993.0
2024-05-19,3604.0
2024-05-20,3268.0
2024-05-21,6630.0
2024-05-22,3545.0
2024-05-23,2778.0
2024-05-24,5485.0
2024-05-25,2657.0
2024-05-26,2080.0
2024-05-27,1142.0
2024-05-28,2909.0
2024-05-29,6249.0
2024-05-30,2842.0
2024-05-31,1198.0
2024-06-01,1224.0
2024-06-02,5774.0
2024-06-03,4146.0
2024-06-04,4911.0
2024-06-05,3017.0
2024-06-06,5222.0
2024-06-07,1816.0
2024-06-08,1395.0
2024-06-09,5576.0
2024-06-10,1288.0
2024-06-11,5060.0
2024-06-12,1639.0
2024-06-13,5666.0
2024-06-14,1715.0
2024-06-15,6114.0
2024-06-16,1150.0
2024-06-17,9286.0
2024-06-18,10744.0
2024-06-19,8276.0
2024-06-20,8531.0
2024-06-21,11975.0
2024-06-22,1291.0
2024-06-23,2081.0
2024-06-24,1444.0
2024-06-25,9210.0
2024-06-26,2041.0
2024-06-27,7379.0
2024-06-28,1425.0
2024-06-29,1459.0
2024-06-30,5970.0
2024-07-01,2511.0
2024-07-02,5545.0
2024-07-03,1637.0
2024-07-04,5508.0
2024-07-05,5383.0
2024-07-06,2049.0
2024-07-07,1544.0
2024-07-08,2031.0
